brand,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti,Swift,2014.0,450000.0,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
Skoda,Rapid,2014.0,370000.0,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5.0
Honda,City,2006.0,158000.0,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5.0
Hyundai,i20,2010.0,225000.0,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
Maruti,Swift,2007.0,130000.0,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,5.0
Hyundai,Xcent,2017.0,440000.0,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0
Maruti,Wagon,2007.0,96000.0,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,5.0
Maruti,800,2001.0,45000.0,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
Toyota,Etios,2011.0,350000.0,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,5.0
Ford,Figo,2013.0,200000.0,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,5.0
Renault,Duster,2014.0,500000.0,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0
Maruti,Zen,2005.0,92000.0,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5.0
Maruti,Swift,2009.0,280000.0,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
Maruti,Wagon,2009.0,180000.0,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5.0
,KUV,2016.0,400000.0,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5.0
Maruti,Ertiga,2016.0,778000.0,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0
Hyundai,i20,2012.0,500000.0,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5.0
Maruti,Alto,2002.0,150000.0,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,i20,2016.0,680000.0,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
Mahindra,Verito,2011.0,174000.0,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5.0
Honda,WR-V,2017.0,950000.0,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5.0
Maruti,Swift,2015.0,525000.0,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0
Maruti,SX4,2012.0,600000.0,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,5.0
Tata,Tigor,2018.0,500000.0,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,5.0
