age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
58.0,management,married,tertiary,no,2143,yes,no,,5,may,261.0,1,-1,0,
44.0,technician,single,secondary,no,29,yes,no,,5,may,151.0,1,-1,0,
33.0,entrepreneur,married,secondary,no,2,yes,yes,,5,may,76.0,1,-1,0,
47.0,blue-collar,married,,no,1506,yes,no,,5,may,92.0,1,-1,0,
,,single,,no,1,no,no,,5,may,198.0,1,-1,0,
35.0,management,married,tertiary,no,231,yes,no,,5,may,139.0,1,-1,0,
28.0,management,single,tertiary,no,447,yes,yes,,5,may,217.0,1,-1,0,
42.0,entrepreneur,divorced,tertiary,yes,2,yes,no,,5,may,380.0,1,-1,0,
58.0,retired,married,primary,no,121,yes,no,,5,may,50.0,1,-1,0,
43.0,technician,single,secondary,no,593,yes,no,,5,may,55.0,1,-1,0,
41.0,admin.,divorced,secondary,no,270,yes,no,,5,may,222.0,1,-1,0,
29.0,admin.,single,secondary,no,390,yes,no,,5,may,137.0,1,-1,0,
53.0,technician,married,secondary,no,6,yes,no,,5,may,517.0,1,-1,0,
58.0,technician,married,,no,71,yes,no,,5,may,71.0,1,-1,0,
57.0,services,married,secondary,no,162,yes,no,,5,may,174.0,1,-1,0,
51.0,retired,married,primary,no,229,yes,no,,5,may,353.0,1,-1,0,
45.0,admin.,single,,no,13,yes,no,,5,may,98.0,1,-1,0,
57.0,blue-collar,married,primary,no,52,yes,no,,5,may,38.0,1,-1,0,
60.0,retired,married,primary,no,60,yes,no,,5,may,219.0,1,-1,0,
33.0,services,married,secondary,no,0,yes,no,,5,may,54.0,1,-1,0,
28.0,blue-collar,married,secondary,no,723,yes,yes,,5,may,262.0,1,-1,0,
56.0,management,married,tertiary,no,779,yes,no,,5,may,164.0,1,-1,0,
32.0,blue-collar,single,primary,no,23,yes,yes,,5,may,160.0,1,-1,0,
25.0,services,married,secondary,no,50,yes,no,,5,may,342.0,1,-1,0,
40.0,retired,married,primary,no,0,yes,yes,,5,may,181.0,1,-1,0,
44.0,admin.,married,secondary,no,-372,yes,no,,5,may,172.0,1,-1,0,
39.0,management,single,tertiary,no,255,yes,no,,5,may,296.0,1,-1,0,
52.0,entrepreneur,married,secondary,no,113,yes,yes,,5,may,127.0,1,-1,0,
46.0,management,single,secondary,no,-246,yes,no,,5,may,255.0,2,-1,0,
36.0,technician,single,secondary,no,265,yes,yes,,5,may,348.0,1,-1,0,
57.0,technician,married,secondary,no,839,no,yes,,5,may,225.0,1,-1,0,
49.0,management,married,tertiary,no,378,yes,no,,5,may,230.0,1,-1,0,
60.0,admin.,married,secondary,no,39,yes,yes,,5,may,208.0,1,-1,0,
59.0,blue-collar,married,secondary,no,0,yes,no,,5,may,226.0,1,-1,0,
51.0,management,married,tertiary,no,10635,yes,no,,5,may,336.0,1,-1,0,
57.0,technician,divorced,secondary,no,63,yes,no,,5,may,242.0,1,-1,0,
25.0,blue-collar,married,secondary,no,-7,yes,no,,5,may,365.0,1,-1,0,
53.0,technician,married,secondary,no,-3,no,no,,5,may,1666.0,1,-1,0,
36.0,admin.,divorced,secondary,no,506,yes,no,,5,may,577.0,1,-1,0,
37.0,admin.,single,secondary,no,0,yes,no,,5,may,137.0,1,-1,0,
44.0,services,divorced,secondary,no,2586,yes,no,,5,may,160.0,1,-1,0,
50.0,management,married,secondary,no,49,yes,no,,5,may,180.0,2,-1,0,
60.0,blue-collar,married,,no,104,yes,no,,5,may,22.0,1,-1,0,
54.0,retired,married,secondary,no,529,yes,no,,5,may,1492.0,1,-1,0,
58.0,retired,married,,no,96,yes,no,,5,may,616.0,1,-1,0,
36.0,admin.,single,primary,no,-171,yes,no,,5,may,242.0,1,-1,0,
58.0,self-employed,married,tertiary,no,-364,yes,no,,5,may,355.0,1,-1,0,
44.0,technician,married,secondary,no,0,yes,no,,5,may,225.0,2,-1,0,
55.0,technician,divorced,secondary,no,0,no,no,,5,may,160.0,1,-1,0,
29.0,management,single,tertiary,no,0,yes,no,,5,may,363.0,1,-1,0,
54.0,blue-collar,married,secondary,no,1291,yes,no,,5,may,266.0,1,-1,0,
48.0,management,divorced,tertiary,no,-244,yes,no,,5,may,253.0,1,-1,0,
32.0,management,married,tertiary,no,0,yes,no,,5,may,179.0,1,-1,0,
42.0,admin.,single,secondary,no,-76,yes,no,,5,may,787.0,1,-1,0,
24.0,technician,single,secondary,no,-103,yes,yes,,5,may,145.0,1,-1,0,
38.0,entrepreneur,single,tertiary,no,243,no,yes,,5,may,174.0,1,-1,0,
38.0,management,single,tertiary,no,424,yes,no,,5,may,104.0,1,-1,0,
47.0,blue-collar,married,,no,306,yes,no,,5,may,13.0,1,-1,0,
40.0,blue-collar,single,,no,24,yes,no,,5,may,185.0,1,-1,0,
46.0,services,married,primary,no,179,yes,no,,5,may,1778.0,1,-1,0,
32.0,admin.,married,tertiary,no,0,yes,no,,5,may,138.0,1,-1,0,
53.0,technician,divorced,secondary,no,989,yes,no,,5,may,812.0,1,-1,0,
57.0,blue-collar,married,primary,no,249,yes,no,,5,may,164.0,1,-1,0,
33.0,services,married,secondary,no,790,yes,no,,5,may,391.0,1,-1,0,
49.0,blue-collar,married,,no,154,yes,no,,5,may,357.0,1,-1,0,
