Age,Income,Gender,Expenses,City,Education,Marital Status,Date
,37200.0,,24900.0,Paris,High School,Divorced,2023-01-01 00:00:00.000000000
69.0,57100.0,Female,33600.0,Paris,High School,Married,2023-01-01 00:52:25.274527452
46.0,59500.0,Female,45600.0,Paris,High School,,2023-01-01 01:44:50.549054905
32.0,42900.0,Male,23900.0,Paris,High School,Divorced,2023-01-01 02:37:15.823582358
60.0,,Female,19000.0,London,Bachelor,,2023-01-01 03:29:41.098109810
25.0,74100.0,Male,49200.0,Paris,Bachelor,Single,2023-01-01 04:22:06.372637263
38.0,53400.0,Female,33600.0,Paris,High School,,2023-01-01 05:14:31.647164716
56.0,59500.0,Male,31800.0,Paris,Bachelor,Single,2023-01-01 06:06:56.921692169
36.0,37700.0,Male,20300.0,London,Bachelor,Married,2023-01-01 06:59:22.196219621
40.0,31700.0,Male,17700.0,Madrid,Bachelor,Single,2023-01-01 07:51:47.470747074
28.0,41500.0,Male,21400.0,London,High School,Single,2023-01-01 08:44:12.745274527
28.0,48100.0,Female,32900.0,London,High School,Single,2023-01-01 09:36:38.019801980
41.0,34000.0,Male,22500.0,London,High School,Widowed,2023-01-01 10:29:03.294329432
53.0,49900.0,Female,28800.0,Paris,Bachelor,Single,2023-01-01 11:21:28.568856885
57.0,24700.0,Male,13800.0,Paris,Bachelor,Single,2023-01-01 12:13:53.843384338
41.0,33200.0,Male,18100.0,Paris,Bachelor,Single,2023-01-01 13:06:19.117911791
20.0,60100.0,Male,30900.0,Paris,High School,Single,2023-01-01 13:58:44.392439243
39.0,59100.0,Male,25700.0,Paris,High School,Divorced,
19.0,44100.0,Male,22400.0,London,High School,Widowed,2023-01-01 15:43:34.941494149
41.0,34700.0,Male,18300.0,Paris,High School,Married,2023-01-01 16:36:00.216021602
61.0,34600.0,Female,21400.0,Madrid,High School,Married,2023-01-01 17:28:25.490549054
47.0,44400.0,Male,31500.0,Madrid,High School,Married,2023-01-01 18:20:50.765076507
55.0,59700.0,Male,33300.0,Rome,Bachelor,Single,2023-01-01 19:13:16.039603960
19.0,63900.0,Female,49700.0,Paris,High School,Single,2023-01-01 20:05:41.314131413
38.0,42600.0,Male,31100.0,Madrid,Bachelor,Married,2023-01-01 20:58:06.588658865
50.0,32700.0,Male,26000.0,Berlin,Bachelor,Divorced,2023-01-01 21:50:31.863186318
29.0,54000.0,Male,40500.0,Madrid,Bachelor,Married,2023-01-01 22:42:57.137713771
39.0,37600.0,Male,24300.0,London,Master,Single,2023-01-01 23:35:22.412241224
61.0,42200.0,Male,27000.0,Berlin,High School,Divorced,2023-01-02 00:27:47.686768676
42.0,69900.0,Male,31600.0,Paris,High School,Married,2023-01-02 01:20:12.961296129
66.0,62400.0,Female,43000.0,Paris,Bachelor,Married,2023-01-02 02:12:38.235823582
44.0,,Female,33500.0,Paris,High School,Single,2023-01-02 03:05:03.510351035
59.0,30900.0,Male,18600.0,Madrid,PhD,Single,2023-01-02 03:57:28.784878487
45.0,,Female,36000.0,Paris,High School,Single,2023-01-02 04:49:54.059405940
33.0,65900.0,Male,38100.0,Paris,High School,Divorced,2023-01-02 05:42:19.333933393
32.0,44400.0,Male,27100.0,Madrid,Bachelor,Single,2023-01-02 06:34:44.608460846
64.0,70300.0,Male,39300.0,Paris,High School,Married,2023-01-02 07:27:09.882988298
68.0,69400.0,Male,47700.0,Madrid,High School,Single,2023-01-02 08:19:35.157515751
61.0,75000.0,Male,,Berlin,Master,Single,2023-01-02 09:12:00.432043204
69.0,54600.0,Male,40200.0,Paris,High School,Single,2023-01-02 10:04:25.706570657
,58800.0,,42000.0,Paris,Bachelor,Single,2023-01-02 10:56:50.981098109
54.0,71200.0,Female,28900.0,London,High School,Single,2023-01-02 11:49:16.255625562
68.0,56700.0,Male,43400.0,Rome,High School,Single,2023-01-02 12:41:41.530153015
24.0,42500.0,Female,21700.0,Madrid,High School,Single,2023-01-02 13:34:06.804680468
38.0,43300.0,Female,32700.0,Paris,High School,Single,2023-01-02 14:26:32.079207920
26.0,53600.0,Male,25700.0,Paris,High School,Married,2023-01-02 15:18:57.353735373
56.0,30600.0,Male,17600.0,Paris,PhD,Single,2023-01-02 16:11:22.628262826
35.0,47900.0,Male,33500.0,Berlin,Bachelor,Single,2023-01-02 17:03:47.902790279
21.0,66400.0,Male,43600.0,Paris,Bachelor,Married,2023-01-02 17:56:13.177317731
,17100.0,,9700.0,Paris,High School,Single,2023-01-02 18:48:38.451845184
31.0,73000.0,Male,49000.0,Berlin,High School,Divorced,2023-01-02 19:41:03.726372637
67.0,66800.0,Male,41400.0,London,Bachelor,Single,2023-01-02 20:33:29.000900090
26.0,43100.0,Male,22000.0,Paris,Bachelor,Widowed,2023-01-02 21:25:54.275427542
43.0,58200.0,Male,38300.0,Berlin,High School,Single,2023-01-02 22:18:19.549954995
19.0,50000.0,Male,24100.0,London,High School,Single,2023-01-02 23:10:44.824482448
37.0,68400.0,Male,46300.0,London,High School,Married,2023-01-03 00:03:10.099009900
45.0,64700.0,Male,26000.0,London,High School,Single,2023-01-03 00:55:35.373537353
,29000.0,,18000.0,London,Bachelor,Married,2023-01-03 01:48:00.648064806
24.0,58800.0,Female,33000.0,London,High School,Single,2023-01-03 02:40:25.922592259
61.0,46900.0,Male,24400.0,Madrid,High School,Single,2023-01-03 03:32:51.197119711
25.0,51200.0,Male,31000.0,London,Bachelor,Divorced,2023-01-03 04:25:16.471647164
64.0,39100.0,Male,25700.0,London,High School,Single,2023-01-03 05:17:41.746174617
52.0,,Female,59900.0,London,Bachelor,Single,
31.0,65600.0,Female,48100.0,London,Master,Single,2023-01-03 07:02:32.295229522
34.0,38900.0,Male,26700.0,Paris,High School,Married,2023-01-03 07:54:57.569756975
53.0,30000.0,Male,17700.0,Paris,Bachelor,Single,2023-01-03 08:47:22.844284428
67.0,44200.0,Male,24600.0,London,High School,,2023-01-03 09:39:48.118811881
,56500.0,,23300.0,London,High School,Single,2023-01-03 10:32:13.393339333
21.0,53600.0,Female,29100.0,London,Bachelor,Widowed,2023-01-03 11:24:38.667866786
19.0,68800.0,Male,50900.0,Berlin,Bachelor,Married,2023-01-03 12:17:03.942394239
23.0,61800.0,Male,34200.0,Paris,Bachelor,Single,2023-01-03 13:09:29.216921692
59.0,64500.0,Male,37700.0,London,Master,Married,2023-01-03 14:01:54.491449144
21.0,54900.0,Male,27900.0,London,High School,Married,2023-01-03 14:54:19.765976597
46.0,29200.0,Female,14900.0,Paris,Bachelor,Married,2023-01-03 15:46:45.040504050
35.0,47100.0,Male,20000.0,Paris,Bachelor,Single,2023-01-03 16:39:10.315031503
,65900.0,,42500.0,Paris,High School,Single,2023-01-03 17:31:35.589558955
61.0,49200.0,Male,28500.0,Paris,PhD,Single,2023-01-03 18:24:00.864086408
51.0,57500.0,Male,36900.0,Paris,High School,Single,2023-01-03 19:16:26.138613861
27.0,45200.0,Male,28000.0,London,Bachelor,Married,2023-01-03 20:08:51.413141314
53.0,34600.0,Male,24900.0,London,Bachelor,Married,2023-01-03 21:01:16.687668766
,48100.0,,33700.0,London,Bachelor,Single,2023-01-03 21:53:41.962196219
48.0,54600.0,Male,38700.0,Berlin,High School,Married,2023-01-03 22:46:07.236723672
65.0,,Female,24100.0,London,High School,Single,2023-01-03 23:38:32.511251125
32.0,46500.0,Male,25200.0,Paris,High School,Single,2023-01-04 00:30:57.785778577
25.0,35900.0,Male,27800.0,Paris,Bachelor,Married,2023-01-04 01:23:23.060306030
31.0,66800.0,Male,28200.0,Paris,High School,Married,2023-01-04 02:15:48.334833483
40.0,45600.0,Male,21000.0,Madrid,Bachelor,Married,2023-01-04 03:08:13.609360936
,71800.0,,40800.0,Madrid,High School,Married,2023-01-04 04:00:38.883888388
38.0,72900.0,Male,47100.0,Paris,High School,Single,2023-01-04 04:53:04.158415841
33.0,,Female,19700.0,London,High School,Single,2023-01-04 05:45:29.432943294
62.0,34900.0,Male,24000.0,Rome,Bachelor,Married,2023-01-04 06:37:54.707470747
35.0,18700.0,Female,11700.0,Berlin,Bachelor,,2023-01-04 07:30:19.981998199
64.0,,Female,16600.0,London,High School,Married,2023-01-04 08:22:45.256525652
41.0,,Female,16700.0,Paris,High School,Single,2023-01-04 09:15:10.531053105
43.0,70700.0,Male,43000.0,Paris,PhD,Married,2023-01-04 10:07:35.805580558
42.0,51700.0,Male,24000.0,Berlin,High School,Married,2023-01-04 11:00:01.080108010
62.0,55800.0,Male,24700.0,Berlin,Bachelor,Married,2023-01-04 11:52:26.354635463
58.0,16700.0,Male,8600.0,London,Bachelor,Married,2023-01-04 12:44:51.629162916
46.0,32000.0,Male,21900.0,Paris,High School,Single,2023-01-04 13:37:16.903690369
,63300.0,,40200.0,Madrid,Bachelor,Single,2023-01-04 14:29:42.178217821
62.0,54300.0,Male,32100.0,Berlin,PhD,Divorced,2023-01-04 15:22:07.452745274
18.0,47800.0,Female,30000.0,Paris,Master,Single,2023-01-04 16:14:32.727272727
42.0,58500.0,Male,36500.0,Paris,Bachelor,Married,2023-01-04 17:06:58.001800180
24.0,74500.0,Female,38900.0,London,Bachelor,Single,2023-01-04 17:59:23.276327632
26.0,46700.0,Male,20500.0,Paris,High School,Married,2023-01-04 18:51:48.550855085
41.0,51000.0,Male,38700.0,Paris,High School,Single,2023-01-04 19:44:13.825382538
18.0,52900.0,Female,33900.0,Paris,High School,Married,2023-01-04 20:36:39.099909991
61.0,85900.0,Male,58300.0,Rome,Master,Single,2023-01-04 21:29:04.374437443
25.0,18500.0,Female,10800.0,Berlin,High School,Single,2023-01-04 22:21:29.648964896
41.0,60200.0,Male,42300.0,Paris,High School,Single,2023-01-04 23:13:54.923492349
28.0,48300.0,Male,30600.0,Madrid,High School,Married,2023-01-05 00:06:20.198019801
,58500.0,,24700.0,London,High School,Divorced,2023-01-05 00:58:45.472547254
34.0,40100.0,Male,30300.0,Paris,High School,Single,2023-01-05 01:51:10.747074707
25.0,49300.0,Female,25700.0,Madrid,High School,Single,2023-01-05 02:43:36.021602160
52.0,60700.0,Male,27600.0,London,High School,Single,2023-01-05 03:36:01.296129612
52.0,96700.0,Female,42100.0,Berlin,Bachelor,Married,2023-01-05 04:28:26.570657065
,62100.0,,42700.0,London,Bachelor,Widowed,2023-01-05 05:20:51.845184518
22.0,37300.0,Male,25400.0,London,High School,Single,2023-01-05 06:13:17.119711971
59.0,43600.0,Male,29700.0,Paris,Bachelor,Married,2023-01-05 07:05:42.394239423
,43200.0,,33100.0,Paris,Bachelor,Single,2023-01-05 07:58:07.668766876
58.0,23100.0,Male,12500.0,London,High School,Single,2023-01-05 08:50:32.943294329
45.0,45000.0,Male,28100.0,Madrid,High School,Single,2023-01-05 09:42:58.217821782
24.0,61000.0,Male,39500.0,London,Master,Divorced,2023-01-05 10:35:23.492349234
26.0,30900.0,Male,24500.0,Paris,Bachelor,Married,2023-01-05 11:27:48.766876687
25.0,65700.0,Male,34500.0,Paris,High School,Single,2023-01-05 12:20:14.041404140
29.0,57300.0,Male,44800.0,Madrid,High School,Divorced,2023-01-05 13:12:39.315931593
51.0,39000.0,Male,17900.0,Paris,Bachelor,Single,2023-01-05 14:05:04.590459045
50.0,47900.0,Male,33800.0,Paris,Bachelor,Single,2023-01-05 14:57:29.864986498
65.0,74000.0,Male,48300.0,Berlin,Master,,2023-01-05 15:49:55.139513951
40.0,61000.0,Female,44300.0,Madrid,High School,Widowed,2023-01-05 16:42:20.414041404
41.0,50100.0,Male,20600.0,Berlin,High School,Single,2023-01-05 17:34:45.688568856
,46400.0,,20000.0,Paris,Bachelor,Married,2023-01-05 18:27:10.963096309
52.0,51100.0,Male,21900.0,Paris,High School,Divorced,2023-01-05 19:19:36.237623762
61.0,42300.0,Female,27000.0,Berlin,High School,Single,2023-01-05 20:12:01.512151215
57.0,18400.0,Male,11800.0,Madrid,High School,Single,2023-01-05 21:04:26.786678667
39.0,80600.0,Male,61500.0,Rome,High School,Single,2023-01-05 21:56:52.061206120
44.0,,Female,30700.0,London,Master,,2023-01-05 22:49:17.335733573
52.0,56000.0,Female,23900.0,Berlin,Bachelor,Married,2023-01-05 23:41:42.610261026
18.0,49100.0,Male,23800.0,Paris,High School,Single,2023-01-06 00:34:07.884788478
52.0,39000.0,Male,15700.0,Paris,Bachelor,Single,
54.0,47200.0,Male,33500.0,Paris,Bachelor,Married,2023-01-06 02:18:58.433843384
64.0,26000.0,Male,18900.0,Rome,Master,Married,2023-01-06 03:11:23.708370837
31.0,84200.0,Female,67300.0,Paris,Master,Married,2023-01-06 04:03:48.982898289
20.0,31500.0,Male,17800.0,Paris,High School,Single,2023-01-06 04:56:14.257425742
18.0,34500.0,Male,14100.0,Madrid,Master,Single,2023-01-06 05:48:39.531953195
22.0,43400.0,Male,21400.0,Paris,High School,Single,2023-01-06 06:41:04.806480648
43.0,69300.0,Male,44000.0,Paris,High School,Married,2023-01-06 07:33:30.081008100
31.0,50200.0,Male,39400.0,Berlin,High School,Married,2023-01-06 08:25:55.355535553
56.0,,Female,13900.0,Berlin,High School,Married,2023-01-06 09:18:20.630063006
44.0,68800.0,Male,30900.0,London,Master,Single,2023-01-06 10:10:45.904590459
26.0,61000.0,Female,41500.0,Madrid,Bachelor,Married,2023-01-06 11:03:11.179117911
32.0,58100.0,Male,38700.0,Paris,Bachelor,Married,2023-01-06 11:55:36.453645364
32.0,60700.0,Male,30400.0,Madrid,Master,Married,2023-01-06 12:48:01.728172817
43.0,85900.0,Male,,Berlin,High School,Divorced,2023-01-06 13:40:27.002700270
59.0,82800.0,Male,37400.0,Paris,High School,Single,2023-01-06 14:32:52.277227722
30.0,,Female,30600.0,Berlin,Bachelor,Single,2023-01-06 15:25:17.551755175
,74400.0,,35700.0,Paris,Master,Single,2023-01-06 16:17:42.826282628
49.0,55700.0,Male,24100.0,Paris,PhD,Married,2023-01-06 17:10:08.100810081
56.0,57500.0,Male,30800.0,Madrid,High School,Single,2023-01-06 18:02:33.375337533
66.0,24600.0,Male,11700.0,Paris,Master,Single,2023-01-06 18:54:58.649864986
69.0,47400.0,Female,29000.0,Paris,Master,Married,2023-01-06 19:47:23.924392439
49.0,37800.0,Male,25500.0,Paris,High School,Married,2023-01-06 20:39:49.198919891
,62400.0,,37200.0,Paris,Bachelor,Single,2023-01-06 21:32:14.473447344
47.0,66100.0,Male,43900.0,Madrid,High School,Widowed,2023-01-06 22:24:39.747974797
54.0,18900.0,Male,10300.0,Madrid,High School,,2023-01-06 23:17:05.022502250
40.0,49700.0,Male,20400.0,London,Master,Single,2023-01-07 00:09:30.297029702
56.0,66800.0,Female,52700.0,London,Bachelor,Widowed,2023-01-07 01:01:55.571557155
62.0,47200.0,Female,34400.0,London,Bachelor,Single,2023-01-07 01:54:20.846084608
32.0,60900.0,Male,26100.0,Paris,Master,Married,2023-01-07 02:46:46.120612061
60.0,55300.0,Male,32100.0,Paris,High School,Married,2023-01-07 03:39:11.395139513
46.0,55100.0,Male,36000.0,Paris,High School,Single,2023-01-07 04:31:36.669666966
53.0,45900.0,Male,21900.0,London,High School,Married,2023-01-07 05:24:01.944194419
30.0,31800.0,Male,20100.0,London,Bachelor,Divorced,2023-01-07 06:16:27.218721872
49.0,33200.0,Male,20400.0,Madrid,Master,Single,2023-01-07 07:08:52.493249324
24.0,60600.0,Male,29300.0,Berlin,Bachelor,Single,2023-01-07 08:01:17.767776777
68.0,50300.0,Male,23000.0,Berlin,PhD,Single,2023-01-07 08:53:43.042304230
39.0,47900.0,Male,33700.0,Paris,Bachelor,Single,2023-01-07 09:46:08.316831683
45.0,43600.0,Female,23100.0,Madrid,Bachelor,Single,2023-01-07 10:38:33.591359135
19.0,45400.0,Male,22600.0,Madrid,Bachelor,Single,2023-01-07 11:30:58.865886588
59.0,,Female,45700.0,Madrid,Master,Divorced,2023-01-07 12:23:24.140414041
,45000.0,,31200.0,Paris,High School,Married,2023-01-07 13:15:49.414941494
23.0,29900.0,Male,15300.0,London,High School,Single,
45.0,61200.0,Male,45800.0,London,High School,Divorced,2023-01-07 15:00:39.963996399
45.0,46900.0,Male,31700.0,Paris,Master,Married,2023-01-07 15:53:05.238523852
61.0,50500.0,Male,27200.0,Rome,Master,Single,2023-01-07 16:45:30.513051305
61.0,74100.0,Male,42300.0,Paris,High School,Married,2023-01-07 17:37:55.787578757
37.0,,Female,34300.0,Paris,Master,Married,2023-01-07 18:30:21.062106210
47.0,54300.0,Male,26300.0,London,Bachelor,Married,
28.0,32300.0,Female,19000.0,Paris,High School,Single,2023-01-07 20:15:11.611161116
45.0,46700.0,Male,30900.0,Madrid,Master,,2023-01-07 21:07:36.885688568
42.0,59100.0,Male,36400.0,London,Bachelor,Single,2023-01-07 22:00:02.160216021
56.0,26700.0,Male,17200.0,London,High School,Single,2023-01-07 22:52:27.434743474
50.0,53000.0,Female,32800.0,London,High School,Single,2023-01-07 23:44:52.709270927
18.0,51500.0,Male,24700.0,Paris,High School,Single,2023-01-08 00:37:17.983798379
44.0,50600.0,Female,28500.0,Berlin,Bachelor,Single,2023-01-08 01:29:43.258325832
69.0,65600.0,Male,40200.0,Berlin,High School,Divorced,
30.0,55000.0,Female,39200.0,London,Bachelor,Married,2023-01-08 03:14:33.807380738
58.0,72200.0,Male,47800.0,Rome,Bachelor,Single,2023-01-08 04:06:59.081908190
20.0,35100.0,Male,20000.0,London,High School,Widowed,2023-01-08 04:59:24.356435643
56.0,52000.0,Male,41100.0,London,Bachelor,Divorced,2023-01-08 05:51:49.630963096
23.0,51300.0,Male,22700.0,Madrid,PhD,Single,2023-01-08 06:44:14.905490549
25.0,34000.0,Male,16400.0,London,High School,Married,2023-01-08 07:36:40.180018001
44.0,64300.0,Male,34500.0,London,Bachelor,Married,2023-01-08 08:29:05.454545454
26.0,84900.0,Male,41700.0,Paris,Master,,2023-01-08 09:21:30.729072907
54.0,49700.0,Male,32300.0,Berlin,High School,,2023-01-08 10:13:56.003600360
50.0,57600.0,Male,24000.0,Rome,High School,Single,2023-01-08 11:06:21.278127812
68.0,51300.0,Male,24200.0,London,Bachelor,Single,2023-01-08 11:58:46.552655265
59.0,39300.0,Male,20300.0,Paris,Bachelor,Widowed,2023-01-08 12:51:11.827182718
61.0,22700.0,Female,15300.0,London,High School,Married,2023-01-08 13:43:37.101710171
,39400.0,,29600.0,Berlin,High School,Single,2023-01-08 14:36:02.376237623
32.0,29100.0,Male,20900.0,Paris,Bachelor,Married,2023-01-08 15:28:27.650765076
49.0,75600.0,Female,35700.0,Madrid,High School,Single,2023-01-08 16:20:52.925292529
49.0,48300.0,Male,30200.0,Madrid,Bachelor,Single,2023-01-08 17:13:18.199819982
41.0,44800.0,Male,18500.0,London,Bachelor,,2023-01-08 18:05:43.474347434
58.0,63300.0,Male,33200.0,Paris,High School,Single,2023-01-08 18:58:08.748874887
69.0,,Female,24000.0,London,High School,Single,2023-01-08 19:50:34.023402340
66.0,38500.0,Male,22400.0,Paris,Bachelor,Married,2023-01-08 20:42:59.297929793
